sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,sex,life_stage,attached,dorsal_image_path,ventral_image_path
100-01,Dermacentor variabilis,476,468,8,0.01680672268907563,Amblyomma americanum,4,0.3333333333333333,0.6421396228705105,0.08,0.0,0.0,0.0,0.0,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/100-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/100-01-02.jpg"
102-01,Ixodes scapularis,469,426,43,0.09168443496801706,Dermacentor variabilis,26,0.3407568829013251,0.6000436811987435,0.28,0.12244897959183673,0.030927835051546393,0.0,0.0,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/102-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/102-01-02.jpg"
104-01,Ixodes scapularis,469,362,107,0.2281449893390192,Dermacentor variabilis,59,0.36571101569467845,0.5019865433015648,0.5050505050505051,0.3469387755102041,0.19791666666666666,0.044444444444444446,0.0,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/104-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/104-01-02.jpg"
106-01,Dermacentor variabilis,484,457,27,0.05578512396694215,Amblyomma americanum,26,0.3829078424731669,0.5838377232552749,0.16161616161616163,0.0707070707070707,0.03,0.010416666666666666,0.0,Male,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/106-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/106-01-02.jpg"
107-01,Dermacentor variabilis,484,445,39,0.08057851239669421,Amblyomma americanum,35,0.4337240063121774,0.5485147395747614,0.07,0.17,0.10204081632653061,0.041237113402061855,0.011235955056179775,Male,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/107-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/107-01-02.jpg"
107-02,Dermacentor variabilis,486,479,7,0.01440329218106996,Amblyomma americanum,6,0.3333333333333333,0.6602477225148083,0.07,0.0,0.0,0.0,0.0,Male,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/107-02-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/107-02-02.jpg"
115-01,Dermacentor variabilis,484,470,14,0.028925619834710745,Amblyomma americanum,12,0.3391158916562902,0.615575765496291,0.13131313131313133,0.010101010101010102,0.0,0.0,0.0,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/115-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/115-01-02.jpg"
116-01,Dermacentor variabilis,483,477,6,0.012422360248447204,Amblyomma americanum,4,0.3333333333333333,0.6656679984695538,0.06,0.0,0.0,0.0,0.0,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/116-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/116-01-02.jpg"
117-01,Dermacentor variabilis,487,469,18,0.03696098562628337,Amblyomma americanum,17,0.3443817858439129,0.6092745053124949,0.15151515151515152,0.030612244897959183,0.0,0.0,0.0,Male,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/117-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/117-01-02.jpg"
119-01,Dermacentor variabilis,480,472,8,0.016666666666666666,Amblyomma americanum,6,0.3333333333333333,0.6518857730631102,0.08,0.0,0.0,0.0,0.0,Male,,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/119-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/119-01-02.jpg"
