sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_20,sex,life_stage,attached,dorsal_image_path,ventral_image_path
ZOE-0096-01,Dermacentor variabilis,484,8,476,0.9834710743801653,Haemaphysalis longicornis,366,0.38688118749574235,0.3573942184378282,0.93,1.0,0.9896907216494846,1.0,1.0,Female,Adult,No,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/ZOE-0096-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/ZOE-0096-01-02.jpg"
560-01,Dermacentor variabilis,486,14,472,0.9711934156378601,Ixodes cookei,181,0.357092999745667,0.3219830953534875,0.898989898989899,0.9690721649484536,0.9896907216494846,1.0,1.0,Female,Adult,No,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/560-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/560-01-02.jpg"
ZOE-0021-03,Dermacentor variabilis,489,18,471,0.9631901840490797,Amblyomma americanum,213,0.33826039399189983,0.30554986334050394,0.89,0.9595959595959596,0.98,1.0,0.9893617021276596,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/ZOE-0021-03-1.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/ZOE-0021-03-02.jpg"
218-01,Dermacentor variabilis,485,24,461,0.9505154639175257,Amblyomma americanum,238,0.32592541835316857,0.29611769386920656,0.8383838383838383,0.95,0.97,1.0,1.0,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/218-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/218-01-02.jpg"
296-01,Ixodes scapularis,472,24,448,0.9491525423728814,Haemaphysalis longicornis,215,0.3251176215056354,0.32995612327945006,0.91,0.8947368421052632,0.9484536082474226,1.0,1.0,,Nymph,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/296-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/296-01-02.jpg"
172-01,Dermacentor variabilis,490,25,465,0.9489795918367347,Haemaphysalis longicornis,312,0.3221938202447151,0.3115672970859551,0.89,0.98,0.9489795918367347,0.9690721649484536,0.9578947368421052,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/172-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/172-01-02.jpg"
261-01,Dermacentor variabilis,491,26,465,0.9470468431771895,Haemaphysalis longicornis,312,0.31448113783879084,0.30304955071194767,0.8484848484848485,0.97,0.96,0.98989898989899,0.967741935483871,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/261-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/261-01-02.jpg"
202-01,Dermacentor variabilis,492,34,458,0.9308943089430894,Haemaphysalis longicornis,187,0.3051268643067213,0.2956203770153718,0.8,0.9292929292929293,0.96,0.9896907216494846,0.9791666666666666,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/202-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/202-01-02.jpg"
ZOE-0016-02,Dermacentor variabilis,489,44,445,0.9100204498977505,Haemaphysalis longicornis,289,0.3003592254155635,0.287279200212511,0.76,0.93,0.9183673469387755,0.9789473684210527,0.96875,Female,Adult,Yes,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/ZOE-0016-02-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/ZOE-0016-02-02.jpg"
ZOE-0091-01,Dermacentor variabilis,485,45,440,0.9072164948453608,Haemaphysalis longicornis,347,0.3155273374200553,0.30387958596028414,0.82,0.93,0.9183673469387755,0.9468085106382979,0.9247311827956989,Female,Adult,No,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/ZOE-0091-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/ZOE-0091-01-02.jpg"
