sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_20,sex,life_stage,attached,dorsal_image_path,ventral_image_path
T7845,Dermacentor variabilis,489,2,487,0.9959100204498977,Amblyomma americanum,203,0.35707446496277756,0.2837981810239141,1.0,0.9897959183673469,0.98989898989899,1.0,1.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7845-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7845-02.jpg
T14534,Dermacentor variabilis,479,3,476,0.9937369519832986,Haemaphysalis leporispalustris,389,0.4335171542865721,0.3852465921497262,1.0,0.9797979797979798,1.0,0.9894736842105263,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14534-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14534-02.jpg
T14512,Dermacentor variabilis,490,4,486,0.9918367346938776,Haemaphysalis leporispalustris,399,0.4168347703774809,0.36998683716187597,0.98,0.98,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14512-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14512-02.jpg
T14511,Dermacentor variabilis,488,4,484,0.9918032786885246,Haemaphysalis leporispalustris,269,0.3041536111341906,0.30332193217245584,0.98,0.98,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14511-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14511-02.jpg
T14540,Dermacentor variabilis,487,4,483,0.9917864476386037,Haemaphysalis leporispalustris,368,0.40515387587154883,0.3546091153140591,0.98,0.9797979797979798,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14540-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14540-02.jpg
T14496,Dermacentor variabilis,482,4,478,0.991701244813278,Haemaphysalis leporispalustris,286,0.28542291999560654,0.25978367227319826,0.98,0.9791666666666666,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14496-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14496-02.jpg
T7844,Dermacentor variabilis,490,5,485,0.9897959183673469,Haemaphysalis leporispalustris,228,0.26293245095456935,0.26421540286651146,0.99,0.9595959595959596,1.0,1.0,1.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7844-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7844-02.jpg
T14578,Dermacentor variabilis,489,5,484,0.9897750511247444,Haemaphysalis leporispalustris,376,0.38445662144276554,0.3391664686785117,0.98,0.97,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14578-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14578-02.jpg
T14551,Dermacentor variabilis,496,6,490,0.9879032258064516,Haemaphysalis leporispalustris,383,0.3441071267601003,0.3070331792884885,0.98,0.96,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14551-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14551-02.jpg
T14517-01,Dermacentor variabilis,487,6,481,0.9876796714579056,Haemaphysalis leporispalustris,239,0.2592414868596847,0.28178085452595314,0.98,0.96,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-01-02.jpg
T14517-02,Dermacentor variabilis,488,7,481,0.985655737704918,Haemaphysalis leporispalustris,349,0.36501976831334937,0.3191455851213643,0.98,0.95,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-02-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-02-02.jpg
