sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_20,sex,life_stage,attached,dorsal_image_path,ventral_image_path
T14517-02,Dermacentor variabilis,491,2,489,0.9959266802443992,Haemaphysalis leporispalustris,354,0.3585429788545926,0.3173253361391224,0.99,0.9897959183673469,1.0,1.0,1.0,,Larva,No,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T14517-02-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T14517-02-02.jpg"
T7844,Dermacentor variabilis,489,2,487,0.9959100204498977,Haemaphysalis longicornis,307,0.31037252868982507,0.27694938934813346,0.9797979797979798,1.0,1.0,1.0,1.0,,Nymph,"Yes, unknown length of time","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T7844-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T7844-02.jpg"
T14511,Dermacentor variabilis,488,2,486,0.9959016393442623,Haemaphysalis leporispalustris,280,0.3154150800563769,0.3008449191901398,0.99,0.9897959183673469,1.0,1.0,1.0,,Larva,No,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T14511-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T14511-02.jpg"
T7845,Dermacentor variabilis,488,2,486,0.9959016393442623,Haemaphysalis longicornis,167,0.2618398890620869,0.2744095229222509,0.9797979797979798,1.0,1.0,1.0,1.0,,Nymph,"Yes, unknown length of time","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T7845-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T7845-02.jpg"
T14551,Dermacentor variabilis,487,2,485,0.9958932238193019,Haemaphysalis leporispalustris,379,0.3308923661616134,0.299749916995593,0.99,0.98989898989899,1.0,1.0,1.0,,Larva,No,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T14551-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T14551-02.jpg"
T7843,Dermacentor variabilis,489,3,486,0.9938650306748467,Haemaphysalis longicornis,298,0.2731473763601542,0.2501746711934866,0.9696969696969697,1.0,1.0,1.0,1.0,,Nymph,"Yes, unknown length of time","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T7843-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T7843-02.jpg"
T19731,Dermacentor variabilis,486,3,483,0.9938271604938271,Haemaphysalis longicornis,424,0.415669629378894,0.3810868287495777,0.97,1.0,1.0,1.0,1.0,,Nymph,No,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T19731-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T19731-02.jpg"
T14512,Dermacentor variabilis,484,3,481,0.993801652892562,Haemaphysalis leporispalustris,402,0.4164341074790865,0.37497714185357134,0.98,0.98989898989899,1.0,1.0,1.0,,Larva,No,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T14512-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T14512-02.jpg"
T19730,Dermacentor variabilis,493,4,489,0.9918864097363083,Haemaphysalis longicornis,412,0.3620384313605325,0.33056597681132616,0.97,1.0,0.98989898989899,1.0,1.0,,Nymph,No,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T19730-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T19730-02.jpg"
T14540,Dermacentor variabilis,491,4,487,0.9918533604887984,Haemaphysalis leporispalustris,377,0.41077897002195274,0.3613913041218672,0.98,0.9795918367346939,1.0,1.0,1.0,,Larva,No,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T14540-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy/T14540-02.jpg"
